Elapsed time,ax,ay,az,temp,EDA
'0:00.000',0.76001480,-0.86998993,-0.10000427,30.10004273,0.08303940
'0:00.125',0.77002503,-0.86998993,-0.11003052,30.10004273,0.08102847
'0:00.250',0.75000458,-0.86998993,-0.10000427,30.10004273,0.08102847
'0:00.375',0.77002503,-0.86998993,-0.10000427,30.10004273,0.07901755
'0:00.500',0.75000458,-0.86998993,-0.10000427,30.10004273,0.08102847
'0:00.625',0.75000458,-0.87999268,-0.11003052,30.10004273,0.08102847
'0:00.750',0.75000458,-0.86998993,-0.10000427,30.10004273,0.08303940
'0:00.875',0.75000458,-0.86998993,-0.11003052,30.10004273,0.08303940
'0:01.000',0.75000458,-0.86998993,-0.11003052,30.10004273,0.08102847
'0:01.125',0.76001480,-0.86998993,-0.11003052,30.10004273,0.08102847
'0:01.250',0.76001480,-0.86998993,-0.11003052,30.10004273,0.08102847
'0:01.375',0.76001480,-0.86998993,-0.10000427,30.10004273,0.08102847
'0:01.500',0.75000458,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:01.625',0.76001480,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:01.750',0.76001480,-0.86998993,-0.11003052,30.10004273,0.08303940
'0:01.875',0.75000458,-0.86998993,-0.10000427,30.10004273,0.08303940
'0:02.000',0.75000458,-0.86998993,-0.11003052,30.10004273,0.08303940
'0:02.125',0.75000458,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:02.250',0.75000458,-0.86998993,-0.11003052,30.10004273,0.08102847
'0:02.375',0.75000458,-0.87999268,-0.11003052,30.10004273,0.08303940
'0:02.500',0.75000458,-0.86998993,-0.10000427,30.10004273,0.08102847
'0:02.625',0.75000458,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:02.750',0.75000458,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:02.875',0.75000458,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:03.000',0.75000458,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:03.125',0.75000458,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:03.250',0.75000458,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:03.375',0.76001480,-0.86998993,-0.10000427,30.10004273,0.08102847
'0:03.500',0.76001480,-0.86998993,-0.11003052,30.10004273,0.08303940
'0:03.625',0.76001480,-0.86998993,-0.10000427,30.10004273,0.08303940
'0:03.750',0.76001480,-0.86998993,-0.10000427,30.10004273,0.08303940
'0:03.875',0.76001480,-0.86998993,-0.11003052,30.10004273,0.08303940
'0:04.000',0.76001480,-0.85998718,-0.10000427,30.10004273,0.08102847
'0:04.125',0.76001480,-0.86998993,-0.10000427,30.10004273,0.08303940
'0:04.250',0.76001480,-0.86998993,-0.11003052,30.10004273,0.08102847
'0:04.375',0.76001480,-0.86998993,-0.10000427,30.10004273,0.08303940
'0:04.500',0.77002503,-0.86998993,-0.10000427,30.10004273,0.08303940
'0:04.625',0.76001480,-0.86998993,-0.10000427,30.10004273,0.08102847
'0:04.750',0.76001480,-0.86998993,-0.10000427,30.10004273,0.08303940
'0:04.875',0.75000458,-0.86998993,-0.11003052,30.10004273,0.08303940
'0:05.000',0.75000458,-0.86998993,-0.10000427,30.10004273,0.08102847
'0:05.125',0.75000458,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:05.250',0.75000458,-0.87999268,-0.11003052,30.10004273,0.08303940
'0:05.375',0.74004517,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:05.500',0.74004517,-0.87999268,-0.11003052,30.10004273,0.08303940
'0:05.625',0.75000458,-0.87999268,-0.10000427,30.10004273,0.08102847
'0:05.750',0.74004517,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:05.875',0.74004517,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:06.000',0.75000458,-0.87999268,-0.11003052,30.10004273,0.08303940
'0:06.125',0.74004517,-0.87999268,-0.11003052,30.10004273,0.08102847
'0:06.250',0.74004517,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:06.375',0.74004517,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:06.500',0.75000458,-0.86998993,-0.10000427,30.10004273,0.08303940
'0:06.625',0.75000458,-0.87999268,-0.10000427,30.10004273,0.08303940
'0:06.750',0.75000458,-0.86998993,-0.10000427,30.10004273,0.08303940
'0:06.875',0.76001480,-0.86998993,-0.10000427,30.10004273,0.08303940
'0:07.000',0.75000458,-0.86998993,-0.10000427,30.10004273,0.08303940
